"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2012-2013","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",443,436,442,445,432,433,432,425,478,483,4449
"2012-2013","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",4288,4482,4748,4939,5088,4934,5127,5515,5521,5761,50403
"2012-2013","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1256,1353,1380,1405,1412,1473,1500,1564,1537,1644,14524
"2012-2013","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4219,4445,4618,4616,4618,4785,4574,4886,4812,5062,46635
"2012-2013","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1686,1657,1724,1718,1673,1765,1731,1888,1832,1856,17530
"2012-2013","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2258,2405,2333,2389,2324,2414,2333,2473,2524,2477,23930
"2012-2013","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1820,1940,1969,1998,2079,2119,2054,2197,1999,2150,20325
"2012-2013","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3697,4145,4417,4293,4382,4309,4136,4020,3974,3904,41277
"2012-2013","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1724,1760,1748,1885,1837,1857,1869,2011,1919,1984,18594
"2012-2013","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3125,3466,3447,3328,3356,3474,3292,3535,3491,3664,34178
"2012-2013","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",995,1053,1028,992,1020,1012,1031,1076,1060,1124,10391
"2012-2013","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",295,312,298,308,318,309,306,320,310,323,3099
"2012-2013","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",344,322,314,342,363,376,349,409,406,407,3632
"2012-2013","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2076,2107,2084,2107,2202,2082,2257,2291,2239,2382,21827
"2012-2013","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",266,275,261,259,272,292,295,286,317,321,2844
