"year","board_number","board_name","board_type","junior_kindergarten_enrolment","kindergarten_enrolment","grade_1_enrolment","grade_2_enrolment","grade_3_enrolment","grade_4_enrolment","grade_5_enrolment","grade_6_enrolment","grade_7_enrolment","grade_8_enrolment","total_enrolment"
"2018-2019","N/A","Provincial Total",NA,129160,134535,140790,140030,141855,144775,146225,146080,143225,142350,1409030
"2019-2020","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",575,630,695,645,635,655,610,675,705,745,6570
"2019-2020","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",660,775,765,745,840,775,835,810,750,795,7755
"2019-2020","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",960,985,1040,1010,955,1000,1015,1075,1070,1090,10200
"2019-2020","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1035,1255,1270,1230,1260,1245,1285,1200,1320,1250,12355
"2019-2020","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",665,660,690,680,735,680,695,670,725,690,6885
"2019-2020","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",290,300,350,285,270,310,280,320,280,290,2980
"2019-2020","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",775,910,870,890,885,875,965,920,1065,1050,9205
"2019-2020","B66311","CEP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1185,1255,1390,1375,1360,1270,1340,1220,1215,1180,12785
"2019-2020","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1185,1165,1275,1155,1175,1105,1110,1120,855,810,10960
"2019-2020","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1160,1275,1305,1350,1365,1370,1335,1345,1420,1350,13275
"2019-2020","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",205,210,200,195,190,195,185,195,190,195,1965
"2019-2020","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",180,185,190,180,190,170,165,190,135,160,1735
"2019-2020","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",170,170,165,205,180,185,200,175,190,205,1845
"2019-2020","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",750,790,800,750,730,750,750,790,740,745,7590
"2019-2020","B29130","CSDC des Aurores boreales","Cath Dist Sch Brd (E/F)",75,85,70,65,70,65,60,65,80,70,695
"2019-2020","B29106","CSDC des Grandes Rivieres","Cath Dist Sch Brd (E/F)",385,400,405,405,390,395,380,420,395,380,3960
"2019-2020","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1815,1930,1930,1985,2020,1940,1955,2000,1865,1840,19285
"2019-2020","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",470,520,500,435,455,455,480,470,460,450,4690
"2019-2020","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",745,790,865,790,800,785,755,745,755,720,7745
"2019-2020","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2220,2345,2555,2515,2640,2575,2650,2840,2795,2770,25910
"2019-2020","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",335,380,410,425,465,420,430,460,410,415,4150
"2019-2020","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",3605,4150,4320,4400,4610,4735,4795,4930,5155,5135,45840
"2019-2020","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1250,1445,1485,1470,1470,1450,1635,1640,1600,1625,15070
"2019-2020","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4330,4685,4950,4920,5255,5410,5315,5465,5340,5390,51065
"2019-2020","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1490,1725,1750,1775,1740,1820,1845,1830,1900,1830,17700
"2019-2020","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",1970,2230,2360,2345,2520,2515,2585,2675,2695,2770,24660
"2019-2020","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1815,2080,2280,2330,2350,2440,2475,2520,2530,2455,23280
"2019-2020","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3480,3770,4095,4350,4515,4780,4765,5155,5240,5465,45615
"2019-2020","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1660,1885,1825,1870,1845,1935,1935,2025,2015,1985,18985
"2019-2020","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",2850,3350,3550,3625,3675,3545,3565,3615,3685,3745,35210
"2019-2020","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",815,940,915,1030,1005,1050,1050,1075,1140,1090,10105
"2019-2020","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",270,325,320,310,370,305,345,315,345,310,3210
"2019-2020","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",265,310,345,375,405,370,405,355,340,340,3505
"2019-2020","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2050,2310,2420,2505,2345,2355,2345,2420,2455,2430,23640
"2019-2020","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",255,285,260,245,290,260,280,290,285,295,2740
"2019-2020","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",60,75,80,75,95,110,95,105,130,110,940
"2019-2020","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",565,610,630,600,605,570,610,640,600,560,5985
"2019-2020","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1210,1425,1380,1335,1410,1445,1430,1510,1490,1565,14200
"2019-2020","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1240,1285,1300,1295,1300,1305,1315,1365,1445,1435,13290
"2019-2020","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1130,1335,1475,1455,1475,1430,1410,1430,1465,1465,14065
"2019-2020","B15199","Moose Factory Island DSAB","Public School Board",20,35,30,40,35,30,45,30,NA,10,280
"2019-2020","B15202","Moosonee DSAB","Public School Board",20,25,25,25,30,25,25,30,25,25,265
"2019-2020","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",525,630,650,625,620,675,665,690,745,700,6520
"2019-2020","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1120,1310,1340,1380,1370,1445,1435,1485,1535,1500,13925
"2019-2020","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",165,190,195,185,175,180,190,220,195,205,1900
"2019-2020","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",175,145,180,175,190,185,150,205,225,190,1825
"2019-2020","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",125,130,110,135,130,115,155,150,110,100,1260
"2019-2020","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",2455,2845,2860,3015,3240,3195,3250,3175,3340,3280,30660
"2019-2020","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",3755,4480,4900,4965,4920,5085,5085,5295,5285,5185,48960
"2019-2020","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9535,10495,10655,11255,11455,11475,11505,11575,12155,11980,112070
"2019-2020","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",30,50,40,35,35,30,25,35,30,30,345
"2019-2020","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",770,930,1005,1005,1020,1015,1115,1040,1070,1025,9990
"2019-2020","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",695,840,910,880,855,910,915,900,965,915,8780
"2019-2020","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",110,140,160,170,150,155,175,160,185,190,1595
"2019-2020","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",315,390,375,395,365,355,360,360,355,375,3645
"2019-2020","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",505,590,620,610,585,575,625,615,580,600,5910
"2019-2020","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3220,3525,3890,3620,3685,3710,3835,3985,3845,3965,37275
"2019-2020","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1325,1455,1460,1475,1515,1510,1565,1640,1655,1525,15125
"2019-2020","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",540,560,540,610,605,650,665,655,685,580,6095
"2019-2020","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",375,415,435,465,450,425,435,460,455,505,4425
"2019-2020","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",70,65,60,65,65,70,75,60,65,70,660
"2019-2020","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",55,65,70,55,80,70,85,70,90,80,715
"2019-2020","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4410,5235,5415,5460,5595,5695,5575,5825,5940,5990,55145
"2019-2020","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",410,460,480,520,505,565,530,565,540,565,5135
"2019-2020","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",4985,5610,5980,5995,6200,6065,6255,6305,6395,6505,60295
"2019-2020","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",14865,16830,17190,17280,17525,16870,17120,16925,16665,17160,168430
"2019-2020","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1005,1105,1045,1075,1090,1135,1160,1110,1205,1175,11105
"2019-2020","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1520,1645,1715,1770,1800,1750,1765,1875,1835,1890,17565
"2019-2020","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2170,2290,2350,2350,2465,2390,2365,2425,2450,2365,23620
"2019-2020","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1475,1640,1700,1655,1705,1690,1660,1720,1730,1685,16665
"2019-2020","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3620,4250,4420,4315,4440,4430,4545,4605,4565,4830,44015
"2019-2020","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",495,540,590,570,535,595,560,595,655,625,5755
"2019-2020","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1090,1205,1260,1250,1360,1300,1325,1385,1450,1465,13085
"2019-2020","B67075","York CDSB","Cath Dist Sch Brd (E/F)",2330,2620,2970,3225,3495,3540,3615,3820,3840,3985,33435
"2019-2020","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6235,7250,8235,8295,9260,8705,9045,9355,9545,9990,85915
"2020-2021","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",575,630,695,645,635,655,610,675,705,745,6570
"2020-2021","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",660,775,765,745,840,775,835,810,750,795,7755
"2020-2021","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",960,985,1040,1010,955,1000,1015,1075,1070,1090,10200
"2020-2021","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1035,1255,1270,1230,1260,1245,1285,1200,1320,1250,12355
"2020-2021","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",665,660,690,680,735,680,695,670,725,690,6885
"2020-2021","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",290,300,350,285,270,310,280,320,280,290,2980
"2020-2021","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",775,910,870,890,885,875,965,920,1065,1050,9205
"2020-2021","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1185,1165,1275,1155,1175,1105,1110,1120,855,810,10960
"2020-2021","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1160,1275,1305,1350,1365,1370,1335,1345,1420,1350,13275
"2020-2021","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",205,210,200,195,190,195,185,195,190,195,1965
"2020-2021","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",180,185,190,180,190,170,165,190,135,160,1735
"2020-2021","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",170,170,165,205,180,185,200,175,190,205,1845
"2020-2021","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",750,790,800,750,730,750,750,790,740,745,7590
"2020-2021","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",75,85,70,65,70,65,60,65,80,70,695
"2020-2021","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",385,400,405,405,390,395,380,420,395,380,3960
"2020-2021","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1815,1930,1930,1985,2020,1940,1955,2000,1865,1840,19285
"2020-2021","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",470,520,500,435,455,455,480,470,460,450,4690
"2020-2021","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",745,790,865,790,800,785,755,745,755,720,7745
"2020-2021","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1185,1255,1390,1375,1360,1270,1340,1220,1215,1180,12785
"2020-2021","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2220,2345,2555,2515,2640,2575,2650,2840,2795,2770,25910
"2020-2021","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",335,380,410,425,465,420,430,460,410,415,4150
"2020-2021","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",3605,4150,4320,4400,4610,4735,4795,4930,5155,5135,45840
"2020-2021","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1250,1445,1485,1470,1470,1450,1635,1640,1600,1625,15070
"2020-2021","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4330,4685,4950,4920,5255,5410,5315,5465,5340,5390,51065
"2020-2021","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1490,1725,1750,1775,1740,1820,1845,1830,1900,1830,17700
"2020-2021","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",1970,2230,2360,2345,2520,2515,2585,2675,2695,2770,24660
"2020-2021","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1815,2080,2280,2330,2350,2440,2475,2520,2530,2455,23280
"2020-2021","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3480,3770,4095,4350,4515,4780,4765,5155,5240,5465,45615
"2020-2021","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1660,1885,1825,1870,1845,1935,1935,2025,2015,1985,18985
"2020-2021","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",2850,3350,3550,3625,3675,3545,3565,3615,3685,3745,35210
"2020-2021","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",815,940,915,1030,1005,1050,1050,1075,1140,1090,10105
"2020-2021","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",270,325,320,310,370,305,345,315,345,310,3210
"2020-2021","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",265,310,345,375,405,370,405,355,340,340,3505
"2020-2021","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2050,2310,2420,2505,2345,2355,2345,2420,2455,2430,23640
"2020-2021","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",255,285,260,245,290,260,280,290,285,295,2740
"2020-2021","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",60,75,80,75,95,110,95,105,130,110,940
"2020-2021","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",565,610,630,600,605,570,610,640,600,560,5985
"2020-2021","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1210,1425,1380,1335,1410,1445,1430,1510,1490,1565,14200
"2020-2021","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1240,1285,1300,1295,1300,1305,1315,1370,1445,1435,13290
"2020-2021","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1130,1335,1475,1455,1475,1430,1410,1430,1465,1465,14065
"2020-2021","B15199","Moose Factory Island DSAB","Public School Board",20,35,30,40,35,30,45,30,NA,10,280
"2020-2021","B15202","Moosonee DSAB","Public School Board",20,25,25,25,30,25,25,30,25,25,265
"2020-2021","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",525,630,650,625,620,675,665,690,745,700,6520
"2020-2021","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1120,1310,1340,1380,1370,1445,1435,1485,1535,1500,13925
"2020-2021","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",165,190,195,185,175,180,190,220,195,205,1900
"2020-2021","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",175,145,180,175,190,185,150,205,225,190,1825
"2020-2021","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",125,130,110,135,130,115,155,150,110,100,1260
"2020-2021","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",2455,2845,2860,3015,3240,3195,3250,3175,3340,3280,30660
"2020-2021","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",3755,4480,4900,4965,4920,5085,5085,5295,5285,5185,48960
"2020-2021","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9535,10495,10655,11255,11455,11475,11505,11575,12155,11980,112070
"2020-2021","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",30,50,40,35,35,30,25,35,30,30,345
"2020-2021","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",770,930,1005,1005,1020,1015,1115,1040,1070,1025,9990
"2020-2021","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",695,840,910,880,855,910,915,900,965,915,8780
"2020-2021","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",110,140,160,170,150,155,175,160,185,190,1595
"2020-2021","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",315,390,375,395,365,355,360,360,355,375,3645
"2020-2021","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",505,590,620,610,585,575,625,615,580,600,5910
"2020-2021","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",3220,3525,3890,3620,3685,3710,3835,3985,3845,3965,37275
"2020-2021","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1325,1455,1460,1475,1515,1510,1565,1640,1655,1525,15125
"2020-2021","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",540,560,540,610,605,650,665,655,685,580,6095
"2020-2021","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",375,415,435,465,450,425,435,460,455,505,4425
"2020-2021","B29076","Superior North CDSB","Cath Dist Sch Brd (E/F)",70,65,60,65,65,70,75,60,65,70,660
"2020-2021","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",55,65,70,55,80,70,85,70,90,80,715
"2020-2021","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",4410,5235,5415,5460,5595,5695,5575,5825,5940,5990,55145
"2020-2021","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",410,460,480,520,505,565,530,565,540,565,5135
"2020-2021","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",4985,5610,5980,5995,6200,6065,6255,6305,6395,6505,60295
"2020-2021","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",14865,16830,17190,17280,17525,16870,17120,16925,16665,17160,168430
"2020-2021","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1005,1105,1045,1075,1090,1135,1160,1110,1205,1175,11105
"2020-2021","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",1520,1645,1715,1770,1800,1750,1765,1875,1835,1890,17565
"2020-2021","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2170,2290,2350,2350,2465,2390,2365,2425,2450,2365,23620
"2020-2021","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1475,1640,1700,1655,1705,1690,1660,1720,1730,1685,16665
"2020-2021","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",3620,4250,4420,4315,4440,4430,4545,4605,4565,4830,44015
"2020-2021","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",495,540,590,570,535,595,560,595,655,625,5755
"2020-2021","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1090,1205,1260,1250,1360,1300,1325,1385,1450,1465,13085
"2020-2021","B67075","York CDSB","Cath Dist Sch Brd (E/F)",2330,2620,2970,3225,3495,3540,3615,3820,3840,3985,33435
"2020-2021","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",6235,7250,8235,8295,9260,8705,9045,9355,9545,9990,85915
"2020-2021","N/A","Provincial Total",NA,116670,131220,137350,138590,142425,141645,143580,146415,147690,148465,1394040
"2021-2022","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",675,655,655,720,660,665,685,630,730,800,6870
"2021-2022","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",725,735,815,790,765,850,785,835,765,770,7845
"2021-2022","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",945,1060,990,1045,1015,945,1015,1005,1100,1090,10205
"2021-2022","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1160,1230,1340,1345,1290,1315,1285,1355,1260,1330,12910
"2021-2022","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",635,785,715,735,720,770,705,715,710,735,7220
"2021-2022","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",300,320,315,365,295,280,320,280,320,285,3080
"2021-2022","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",780,890,955,890,935,905,895,970,1080,1075,9375
"2021-2022","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",1050,1170,1140,1220,1115,1120,1060,1075,940,830,10715
"2021-2022","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1010,1130,1250,1215,1285,1305,1305,1270,1295,1360,12435
"2021-2022","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",205,220,210,195,200,190,200,180,185,180,1960
"2021-2022","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",175,190,185,180,175,180,170,160,145,120,1675
"2021-2022","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",160,180,165,165,200,185,185,195,195,185,1810
"2021-2022","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",780,800,785,810,760,740,745,785,765,735,7710
"2021-2022","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",80,75,80,65,65,65,60,60,65,70,680
"2021-2022","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",405,390,390,390,400,385,395,375,425,395,3950
"2021-2022","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1725,1880,1910,1905,1950,1990,1910,1955,1895,1880,18995
"2021-2022","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",400,455,495,480,410,440,440,465,425,430,4445
"2021-2022","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",715,755,770,815,755,770,760,730,715,730,7515
"2021-2022","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1155,1260,1275,1385,1355,1330,1255,1330,1155,1200,12705
"2021-2022","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2505,2645,2620,2735,2665,2740,2700,2750,2990,2860,27215
"2021-2022","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",350,415,425,440,430,490,430,425,465,460,4325
"2021-2022","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",3475,3800,4165,4220,4300,4545,4575,4685,4785,5045,43590
"2021-2022","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1315,1365,1550,1525,1495,1490,1455,1625,1645,1580,15035
"2021-2022","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",4610,4970,5095,5110,5095,5405,5530,5440,5595,5425,52275
"2021-2022","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1615,1825,1890,1835,1855,1800,1895,1910,1910,1965,18495
"2021-2022","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",1960,2240,2255,2360,2360,2560,2515,2625,2695,2755,24315
"2021-2022","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",1700,1980,2140,2260,2345,2350,2470,2475,2525,2525,22765
"2021-2022","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",3610,4040,4090,4430,4505,4695,4875,4890,5215,5290,45640
"2021-2022","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",1725,1825,1955,1850,1895,1860,1955,1935,2000,2020,19020
"2021-2022","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3305,3500,3560,3625,3640,3755,3560,3630,3670,3780,36035
"2021-2022","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",965,1015,1015,960,1090,1040,1100,1100,1110,1180,10565
"2021-2022","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",285,290,330,315,305,380,305,340,315,335,3205
"2021-2022","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",295,300,330,375,375,415,370,420,345,295,3525
"2021-2022","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2350,2510,2545,2550,2575,2510,2450,2430,2480,2550,24955
"2021-2022","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",275,285,300,260,275,305,280,295,305,300,2880
"2021-2022","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",95,70,75,75,75,90,120,100,110,130,940
"2021-2022","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",625,625,650,640,630,630,595,645,645,620,6315
"2021-2022","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1335,1380,1510,1450,1390,1450,1490,1470,1525,1550,14550
"2021-2022","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1270,1395,1330,1320,1315,1335,1335,1345,1450,1480,13580
"2021-2022","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1265,1390,1455,1560,1525,1525,1485,1460,1465,1510,14635
"2021-2022","B15199","Moose Factory Island DSAB","Public School Board",20,35,35,35,40,35,30,45,15,NA,295
"2021-2022","B15202","Moosonee DSAB","Public School Board",20,25,30,30,25,30,25,20,30,25,255
"2021-2022","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",600,635,645,690,675,645,720,665,735,755,6770
"2021-2022","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1200,1300,1400,1385,1425,1435,1480,1460,1500,1570,14155
"2021-2022","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",175,185,200,195,185,185,195,195,220,200,1930
"2021-2022","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",150,205,165,210,205,195,200,175,220,225,1955
"2021-2022","B29041","Northwest CDSB","Cath Dist Sch Brd (E/F)",115,120,130,110,135,135,115,155,130,95,1235
"2021-2022","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",2425,2775,2935,2935,3115,3310,3245,3280,3380,3435,30840
"2021-2022","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",4200,4630,4840,5045,5070,5100,5185,5265,5250,5430,50010
"2021-2022","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9580,10205,10565,10505,11065,11225,11210,11270,11390,11955,108965
"2021-2022","B79910","Penetanguishene PSSB","Prot Sep Sch Brd (Sch Auth)",35,35,50,40,35,30,25,25,30,30,340
