"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","841358","St Paul Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","15 Tripp Blvd","Quinte West","Trenton","K8V6M2","330",44.09403,-77.5981,5,100,0,0,30,0,NA,NA,NA,NA,NA,NA,81,50,79,10,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","845493","St Peter Catholic School","Catholic","Not applicable","Elementary","English","JK-8","15A Tripp Blvd","Quinte West","Trenton","K8V6M2","295",44.09989,-77.579,0,100,0,0,20,0,55,45,34,76,76,42,NA,NA,NA,20,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","851752","St Theresa Catholic Secondary School","Catholic","Not applicable","Secondary","English","9-12","135 Adam St","Belleville","Belleville","K8N5S1","725",44.19052,-77.3819,2,100,0,1,23,0,NA,NA,NA,NA,NA,NA,60,28,81,13,4,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","856150","St Thomas More Catholic School","Catholic","Not applicable","Elementary","English","JK-8","234 Norman Rogers Dr","Kingston","Kingston","K7M2R4","230",44.23513,-76.524,5,100,5,0,25,0,61,55,30,78,78,53,NA,NA,NA,25,10,NA
"2017-2018","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)","756642","St. Francis of Assisi Catholic School","Catholic","Not applicable","Elementary","English","JK-8","114 Wiley Street","Kingston","Kingston","K7K5B5","300",44.26086,-76.4907,5,100,0,0,35,0,38,41,16,61,58,6,NA,NA,NA,50,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","019313","Anne Hathaway Public School","Public","Not applicable","Elementary","English","JK-8","77 Bruce St","Stratford","Stratford","N5A4A2","400",43.3579,-80.972,5,100,0,0,5,0,70,61,54,80,82,53,NA,NA,NA,20,15,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","893048","Avon Maitland District E-learning Centre","Public","Not applicable","Secondary","English","9-12","165 Princess St E","Central Huron","Clinton","N0M1L0","295",43.6186,-81.5326,10,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","028673","Avon Public School","Public","Not applicable","Elementary","English","JK-6","31 Huntingdon Ave","Stratford","Stratford","N5A6N7","315",43.37444,-80.9979,0,100,0,0,10,5,63,56,63,78,73,53,NA,NA,NA,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","039306","Bedford Public School","Public","Not applicable","Elementary","English","JK-6","59 Bedford Dr","Stratford","Stratford","N5A5J7","450",43.3824,-80.9722,0,100,0,0,10,0,68,58,51,87,87,35,NA,NA,NA,15,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","272319","Bluewater Coast Elementary Public School","Public","Not applicable","Elementary","English","JK-6","85 York Street","Bluewater","Hensall","N0M1X0","130",43.43146,-81.5015,0,100,0,0,10,0,67,67,58,93,93,53,NA,NA,NA,10,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","066699","Brookside Public School","Public","Not applicable","Elementary","English","JK-8","36937 Belgrave Road RR 7","Ashfield-Colborne-Wawanosh","Lucknow","N0G2H0","210",43.89914,-81.5709,5,100,0,0,15,0,70,61,52,70,80,40,NA,NA,NA,20,20,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","899569","Central Huron Secondary School","Public","Not applicable","Secondary","English","9-12","165 Princess St E","Central Huron","Clinton","N0M1L0","490",43.61681,-81.5337,0,100,0,0,25,0,NA,NA,NA,NA,NA,NA,72,46,67,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","093718","Central Perth Elementary School","Public","Not applicable","Elementary","English","JK-8","4663 Road 135 RR 1","Perth East","Sebringville","N0K1X0","220",43.46305,-81.0266,5,100,0,0,10,0,93,87,73,82,79,29,NA,NA,NA,10,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","112917","Clinton Public School","Public","Not applicable","Elementary","English","JK-8","27 Percival St","Central Huron","Clinton","N0M1L0","300",43.61488,-81.532,0,100,0,0,15,5,78,73,68,72,70,40,NA,NA,NA,20,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","145912","Downie Central Public School","Public","Not applicable","Elementary","English","JK-8","4384 Line 20 RR 2","Perth South","St Pauls","N0K1V0","245",43.32748,-81.0775,0,100,0,0,10,0,62,67,58,81,88,62,NA,NA,NA,10,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","175170","Elma Township Public School","Public","Not applicable","Elementary","English","JK-8","5972 Line 72 RR 2","North Perth","Atwood","N0G1B0","340",43.65629,-81.0259,0,100,0,0,10,0,68,71,59,69,60,31,NA,NA,NA,15,30,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","190527","Exeter Elementary School","Public","Not applicable","Elementary","English","JK-8","93 Victoria St E","South Huron","Exeter","N0M1S1","310",43.35124,-81.4776,5,100,0,0,5,0,85,80,80,79,79,53,NA,NA,NA,15,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","953776","F E Madill Secondary School","Public","Not applicable","Secondary","English","9-12","231 Madill Dr","North Huron","Wingham","N0G2W0","655",43.88247,-81.3064,3,100,0,0,24,1,NA,NA,NA,NA,NA,NA,65,60,73,16,19,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","181908","F. E. Madill Elementary","Public","Not applicable","Elementary","English","7-8","231 Madill Drive","North Huron","Wingham","N0G2W0","155",43.8824,-81.3064,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","450242","GDCI - Elementary","Public","Not applicable","Elementary","English","7-8","260 South St","Goderich","Goderich","N7A3M5","155",43.73417,-81.7112,0,100,0,0,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","913600","Goderich District Collegiate Institute","Public","Not applicable","Secondary","English","9-12","260 South St","Goderich","Goderich","N7A3M5","430",43.73412,-81.7112,10,100,0,0,20,5,NA,NA,NA,NA,NA,NA,91,58,69,10,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","478133","Goderich Public School","Public","Not applicable","Elementary","English","JK-8","125 Blake St W","Goderich","Goderich","N7A1Z1","505",43.73468,-81.7164,2,100,2,3,12,2,78,73,66,98,98,73,NA,NA,NA,17,4,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","242527","Hamlet Public School","Public","Not applicable","Elementary","English","JK-8","315 West Gore St","Stratford","Stratford","N5A7N4","190",43.3645,-80.9909,5,95,0,0,10,0,79,71,67,68,41,27,NA,NA,NA,15,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","268003","Howick Central School","Public","Not applicable","Elementary","English","JK-8","45010 Harriston Road RR 1","Howick","Gorrie","N0G1X0","345",43.88372,-81.054,0,100,0,0,10,0,83,91,85,70,73,43,NA,NA,NA,20,40,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","268640","Hullett Central Public School","Public","Not applicable","Elementary","English","JK-8","269 King St","Central Huron","Londesborough","N0M2H0","270",43.69759,-81.4775,0,100,0,0,10,5,94,97,94,86,86,50,NA,NA,NA,20,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","273694","Huron Centennial Public School","Public","Not applicable","Elementary","English","JK-8","39978 Centennial Rd RR 1","Bluewater","Brucefield","N0M1J0","350",43.50722,-81.5155,5,100,0,0,5,5,47,37,47,86,79,56,NA,NA,NA,15,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","923095","Listowel District Secondary School","Public","Not applicable","Secondary","English","9-12","155 Maitland Ave S","North Perth","Listowel","N4W2M4","930",43.72751,-80.9467,14,100,0,0,18,3,NA,NA,NA,NA,NA,NA,82,51,73,8,18,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","163619","Listowel Eastdale Public School","Public","Not applicable","Elementary","English","JK-6","365 Nichol Ave S","North Perth","Listowel","N4W2M3","285",43.72679,-80.9496,10,100,5,5,5,0,76,73,61,90,93,62,NA,NA,NA,10,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","285535","Little Falls Public School Public School","Public","Not applicable","Elementary","English","JK-6","25 Lindsay Atkinson Drive","St. Marys","St Marys","N4X1B6","460",43.25111,-81.1319,0,100,0,0,10,0,86,82,82,76,74,52,NA,NA,NA,10,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","517103","Maitland River Elementary","Public","Not applicable","Elementary","English","JK-8","250 John St E","North Huron","Wingham","N0G2W0","460",43.88225,-81.3033,0,100,0,0,10,0,78,65,60,81,84,41,NA,NA,NA,20,20,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","366021","Milverton Public School","Public","Not applicable","Elementary","English","JK-8","68 Mill St E","Perth East","Milverton","N0K1M0","300",43.56293,-80.915,5,100,0,0,10,5,76,82,82,91,91,69,NA,NA,NA,25,45,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","135064","Mitchell District Elementary","Public","Not applicable","Elementary","English","7-8","95 Francis Street 5","West Perth","Mitchell","N0K1N0","140",43.47518,-81.1895,0,100,0,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","927120","Mitchell District High School","Public","Not applicable","Secondary","English","9-12","95 Frances St RR 5","West Perth","Mitchell","N0K1N0","315",43.47518,-81.1895,10,100,0,0,10,0,NA,NA,NA,NA,NA,NA,94,84,78,5,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","372781","Mornington Central Public School","Public","Not applicable","Elementary","English","JK-8","7241 Road 131 RR 1","Perth East","Newton","N0K1R0","175",43.61469,-80.8846,90,100,5,5,5,0,0,0,0,53,53,24,NA,NA,NA,25,60,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","406040","North Easthope Public School","Public","Not applicable","Elementary","English","JK-8","4672 Road 108 RR 1","Perth East","Stratford","N5A6S2","165",43.42512,-80.864,5,95,0,5,15,0,79,79,74,82,77,68,NA,NA,NA,15,20,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","459441","North Perth Elementary School","Public","Not applicable","Elementary","English","JK-8","955 Binning Street","North Perth","Listowel","N4W0G3","570",43.74007,-80.9644,3,99,1,1,10,1,75,73,69,76,75,47,NA,NA,NA,12,7,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","578519","North Woods Elementary Public School","Public","Not applicable","Elementary","English","JK-6","84925 Ethel Line","Huron East","Ethel","N0G1T0","165",43.71417,-81.145,10,100,0,0,15,0,43,52,22,90,77,32,NA,NA,NA,15,20,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","490040","Romeo Public School","Public","Not applicable","Elementary","English","JK-6","49 Rebecca St","Stratford","Stratford","N5A3P2","140",43.36905,-80.9779,0,100,0,0,20,0,71,76,48,82,73,9,NA,NA,NA,20,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","504475","Seaforth Public School","Public","Not applicable","Elementary","English","JK-8","58 Chalk North St N","Huron East","Seaforth","N0K1W0","300",43.55481,-81.3889,5,100,0,0,10,5,73,80,67,91,88,78,NA,NA,NA,15,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","507725","Shakespeare Public School","Public","Not applicable","Elementary","English","JK-6","35 Mowat St","Stratford","Stratford","N5A2B8","190",43.36207,-80.9829,0,100,0,0,15,5,73,58,62,91,84,41,NA,NA,NA,20,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","469900","South Huron District - Elementary","Public","Not applicable","Elementary","English","7-8","92 Gidley Street East","South Huron","Exeter","N0M1S6","170",43.34944,-81.4776,5,100,0,5,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","943118","South Huron District High School","Public","Not applicable","Secondary","English","9-12","92 Gidley St E","South Huron","Exeter","N0M1S6","415",43.34951,-81.4774,10,100,0,0,25,0,NA,NA,NA,NA,NA,NA,76,60,68,10,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","523267","South Perth Centennial Public School","Public","Not applicable","Elementary","English","JK-8","1866 Road 163 RR 1","Perth South","St Marys","N4X1C4","155",43.26794,-81.193,0,100,0,0,5,0,80,80,73,94,88,59,NA,NA,NA,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","528650","Sprucedale Public School","Public","Not applicable","Elementary","English","JK-8","2215 Fraser St","Perth East","Shakespeare","N0B2P0","205",43.36809,-80.8394,5,100,0,0,10,0,90,62,81,76,57,43,NA,NA,NA,10,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","944807","St Marys District Collegiate and Vocational Institute","Public","Not applicable","Secondary","English","9-12","338 Elizabeth St","St. Marys","St Marys","N4X1B6","440",43.257,-81.1339,0,100,0,0,20,0,NA,NA,NA,NA,NA,NA,83,42,71,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","100438","St. Marys DCVI - Elementary","Public","Not applicable","Elementary","English","7-8","338 Elizabeth Street","St. Marys","St. Marys","N4X1B6","150",43.25705,-81.1339,5,100,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","535508","Stephen Central Public School","Public","Not applicable","Elementary","English","JK-8","70042 Goshen Line RR 3","South Huron","Dashwood","N0M1N0","185",43.29587,-81.5989,0,100,0,0,15,0,88,91,71,91,87,39,NA,NA,NA,25,15,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","531073","Stratford Central Public School","Public","Not applicable","Elementary","English","7-8",NA,NA,NA,NA,"290",NA,NA,0,100,0,0,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","945587","Stratford Central Secondary School","Public","Not applicable","Secondary","English","9-12",NA,NA,NA,NA,"825",NA,NA,8,100,2,1,13,8,NA,NA,NA,NA,NA,NA,88,72,77,7,5,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","531090","Stratford Northwestern Public School","Public","Not applicable","Elementary","English","7-8",NA,NA,NA,NA,"160",NA,NA,10,100,5,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","945714","Stratford Northwestern Secondary School","Public","Not applicable","Secondary","English","9-12",NA,NA,NA,NA,"830",NA,NA,7,100,1,1,25,2,NA,NA,NA,NA,NA,NA,90,55,64,9,7,NA
"2017-2018","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)","566667","Upper Thames Elementary School","Public","Not applicable","Elementary","English","JK-8","165 Frances Street RR 5","West Perth","Mitchell","N0K1N0","610",43.4736,-81.1857,3,100,3,2,6,0,65,56,55,78,74,54,NA,NA,NA,10,2,NA
"2017-2018","B80012","Bloorview SA","Provincial/Hospital","417556","Bloorview School Authority","Hospital","Not applicable","Elementary","English","JK-8","150 Kilgour Rd","Toronto","Toronto","M4G1R8","70",43.71881,-79.3725,0,100,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","010472","Alexandra Community School","Public","Not applicable","Elementary","English","JK-8","1556 8th Ave E","Owen Sound","Owen Sound","N4K3B6","200",44.57298,-80.9294,5,100,0,0,5,0,55,80,50,52,33,24,NA,NA,NA,30,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","011606","Amabel-Sauble Community School","Public","Not applicable","Elementary","English","JK-8","555 Sauble Falls Parkway RR 1","The South Bruce Peninsula","Sauble Beach","N0H2G0","155",44.65046,-81.2568,0,100,0,0,10,0,87,87,73,77,77,23,NA,NA,NA,15,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","022322","Arran Tara Elementary School","Public","Not applicable","Elementary","English","JK-8","106 Brook St W","Arran-Elderslie","Tara","N0H2N0","390",44.48145,-81.1525,5,100,0,0,20,0,97,91,77,91,94,47,NA,NA,NA,20,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","552585","Beaver Valley Community School","Public","Not applicable","Elementary","English","JK-8","189 Bruce St. S.","The Blue Mountains","Thornbury","N0H2P0","480",44.55342,-80.4621,0,100,0,0,10,0,90,84,79,88,81,43,NA,NA,NA,15,0,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","340804","Beavercrest Community School","Public","Not applicable","Elementary","English","JK-8","101 Main St E","Grey Highlands","Markdale","N0C1H0","190",44.32033,-80.6452,0,100,5,0,10,0,68,68,79,76,59,47,NA,NA,NA,15,15,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","067709","Bruce Peninsula District School","Public","Not applicable","Elementary","English","JK-8","5 Moore St","Northern Bruce Peninsula","Lion s Head","N0H1W0","200",44.98479,-81.2519,0,100,0,0,10,0,75,75,55,90,90,43,NA,NA,NA,15,0,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","896969","Bruce Peninsula District School","Public","Not applicable","Secondary","English","9-12","5 Moore St","Northern Bruce Peninsula","Lion s Head","N0H1W0","55",44.98478,-81.2519,0,100,0,0,30,10,NA,NA,NA,NA,NA,NA,NA,NA,79,10,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","169200","Chesley District Community School","Public","Not applicable","Elementary","English","JK-8","231 4th Ave SE","Arran-Elderslie","Chesley","N0G1L0","335",44.30696,-81.0976,0,100,0,0,15,0,70,63,57,65,65,42,NA,NA,NA,25,20,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","135143","Dawnview Public School","Public","Not applicable","Elementary","English","JK-6","149 12th Ave","Hanover","Hanover","N4N2S8","220",44.14548,-81.0209,5,100,0,0,0,0,35,18,15,82,88,53,NA,NA,NA,20,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","458554","Dundalk & Proton Community School","Public","Not applicable","Elementary","English","JK-3","251 Young St","Southgate","Dundalk","N0C1B0","250",44.16499,-80.3897,20,100,0,0,0,0,71,63,61,NA,NA,NA,NA,NA,NA,25,25,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","331307","East Ridge Community School","Public","Not applicable","Elementary","English","JK-8","1550 8th Street","Owen Sound","Owen Sound","N4K0A2","800",44.56713,-80.9161,1,100,1,1,14,1,58,37,48,61,61,32,NA,NA,NA,18,6,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","167649","Egremont Community School","Public","Not applicable","Elementary","English","JK-8","392141 Grey Road 109 RR 2","Southgate","Holstein","N0G2A0","200",44.06142,-80.7596,0,100,0,0,10,0,81,76,52,74,61,30,NA,NA,NA,20,35,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","293776","Elgin Market Public School","Public","Not applicable","Elementary","English","JK-8","305 Queen St","Kincardine","Kincardine","N2Z2R6","235",44.16484,-81.6435,0,100,0,0,5,0,85,58,19,58,58,33,NA,NA,NA,10,5,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","524239","G C Huston Public School","Public","Not applicable","Elementary","English","JK-8","61 Victoria St","Saugeen Shores","Southampton","N0H2L0","300",44.49686,-81.3679,0,100,0,0,10,0,47,53,37,59,63,37,NA,NA,NA,10,5,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","180789","Georgian Bay Community School","Public","Not applicable","Elementary","English","4-8","125 Eliza Street","Meaford","Meaford","N4L1A4","295",44.60205,-80.5845,0,100,0,0,20,5,NA,NA,NA,73,65,23,NA,NA,NA,15,10,NA
"2017-2018","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)","925438","Georgian Bay Community School Secondary School","Public","Not applicable","Secondary","English","9-12","125 Eliza Street","Meaford","Meaford","N4L1A4","345",44.60148,-80.5845,0,100,0,0,25,0,NA,NA,NA,NA,NA,NA,85,47,79,15,0,NA
