"year","board_number","board_name","board_type","school_number","school_name","school_type","school_special_condition_code","school_level","school_language","grade_range","street","municipality","city","postal_code","enrolment","latitude","longitude","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_whose_first_language_is_not_french","percentage_of_students_who_are_new_to_canada_from_a_non_english_speaking_country","percentage_of_students_who_are_new_to_canada_from_a_non_french_speaking_country","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_grade_3_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_3_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_3_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_6_students_achieving_the_provincial_standard_in_reading","percentage_of_grade_6_students_achieving_the_provincial_standard_in_writing","percentage_of_grade_6_students_achieving_the_provincial_standard_in_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_academic_mathematics","percentage_of_grade_9_students_achieving_the_provincial_standard_in_applied_mathematics","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate","percentage_of_grade_9_students_achieving_the_provincial_standard_in_mathematics"
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","331830","Manhattan Park Junior Public School","Public","Not applicable","Elementary","English","JK-6","90 Manhattan Dr","Toronto, City of","Scarborough","M1R3V8","115",43.75335,-79.2953,40,100,10,10,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","335606","Maple Leaf Public School","Public","Not applicable","Elementary","English","JK-8","301 Culford Rd","Toronto, City of","North York","M6L2V4","340",43.71484,-79.4903,35,100,10,10,15,0,45,24,24,76,64,18,NA,NA,NA,25,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","924695","Maplewood High School","Public","Vocational/Occupational","Secondary","English","9-12","120 Galloway Rd","Toronto, City of","West Hill","M1E1W7","140",43.75889,-79.1949,45,100,5,5,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","933198","Marc Garneau Collegiate Institute","Public","Not applicable","Secondary","English","9-12","135 Overlea Blvd","Toronto, City of","Toronto","M3C1B3","1755",43.70897,-79.335,83,100,28,27,12,3,NA,NA,NA,NA,NA,NA,NA,NA,72,26,15,34
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","342190","Market Lane Junior and Senior Public School","Public","Not applicable","Elementary","English","JK-8","246 The Esplanade","Toronto, City of","Toronto","M5A4J6","370",43.64984,-79.3647,25,95,20,20,10,0,83,64,59,94,91,50,NA,NA,NA,20,5,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","925136","Martingrove Collegiate Institute","Public","Not applicable","Secondary","English","9-12","50 Winterton Dr","Toronto, City of","Etobicoke","M9B3G7","1000",43.67338,-79.5607,35,100,12,12,15,19,NA,NA,NA,NA,NA,NA,NA,NA,83,12,8,58
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","348511","Mary Shadd Public School","Public","Not applicable","Elementary","English","JK-8","135 Hupfield Trail","Toronto, City of","Scarborough","M1B4R6","365",43.81439,-79.2183,60,100,10,15,10,0,61,39,39,83,79,36,NA,NA,NA,15,15,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","346527","Maryvale Public School","Public","Not applicable","Elementary","English","JK-8","1325 Pharmacy Ave","Toronto, City of","Scarborough","M1R2J1","260",43.75478,-79.3079,40,100,35,30,15,0,75,25,33,79,79,19,NA,NA,NA,15,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","346659","Mason Road Junior Public School","Public","Not applicable","Elementary","English","JK-6","78 Mason Rd","Toronto, City of","Scarborough","M1M3R2","375",43.73914,-79.2256,45,100,25,25,10,0,45,39,32,52,57,34,NA,NA,NA,20,10,NA
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)","349127","Maurice Cody Junior Public School","Public","Not applicable","Elementary","English","JK-5","364 Belsize Dr","Toronto, City of","Toronto","M4S1N2","550",43.7048,-79.3778,9,100,7,10,4,1,94,89,87,NA,NA,NA,NA,NA,NA,3,0,NA
