"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2012-2013","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5440,5504,5546,8941,25431
"2012-2013","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",595,586,596,715,2492
"2012-2013","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6961,7252,7147,9572,30932
"2012-2013","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",17416,18315,19674,28129,83534
"2012-2013","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1380,1540,1644,2243,6807
"2012-2013","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2095,2240,2407,4558,11300
"2012-2013","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2670,2626,2684,4154,12134
"2012-2013","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1572,1492,1678,2242,6984
"2012-2013","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4560,4671,4845,7263,21339
"2012-2013","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",587,548,635,835,2605
"2012-2013","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1847,1933,2038,2613,8431
"2012-2013","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4399,4589,4502,4950,18440
"2012-2013","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",8565,9002,9510,12601,39678
"2013-2014","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",805,784,843,1337,3769
"2013-2014","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",926,911,1059,1294,4190
"2013-2014","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1207,1360,1427,2136,6130
"2013-2014","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1069,1269,1280,1905,5523
"2013-2014","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",811,792,833,1076,3512
"2013-2014","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",347,308,276,423,1354
"2013-2014","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",1017,1122,1043,1214,4396
"2013-2014","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",915,887,981,1029,3812
"2013-2014","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",441,359,421,378,1599
"2013-2014","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",423,434,384,431,1672
"2013-2014","B28118","CSD du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",138,136,148,239,661
"2013-2014","B28100","CSD du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",122,83,118,186,509
"2013-2014","B67318","CSDC Centre-Sud","Cath Dist Sch Brd (E/F)",836,724,678,753,2991
"2013-2014","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",780,759,792,953,3284
"2013-2014","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",41,29,23,13,106
"2013-2014","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",494,497,515,549,2055
"2013-2014","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1253,1247,1177,1168,4845
"2013-2014","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",405,446,447,514,1812
"2013-2014","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",204,224,200,252,880
"2013-2014","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",2676,2898,2803,4583,12960
"2013-2014","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",615,730,742,1196,3283
"2013-2014","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7700,7828,7923,9900,33351
"2013-2014","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1698,1674,1890,2472,7734
"2013-2014","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5123,5167,5233,6836,22359
"2013-2014","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",2004,2105,2133,3534,9776
"2013-2014","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2788,2772,2773,3726,12059
"2013-2014","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",2457,2436,2402,3052,10347
"2013-2014","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4151,4092,4219,6208,18670
"2013-2014","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2305,2307,2312,4051,10975
"2013-2014","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3385,3649,3705,5566,16305
"2013-2014","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1129,1217,1300,1719,5365
"2013-2014","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",350,342,296,430,1418
"2013-2014","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",345,287,334,427,1393
"2013-2014","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",43,41,38,69,191
"2013-2014","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2343,2505,2492,4229,11569
"2013-2014","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",470,469,486,818,2243
"2013-2014","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",111,97,101,95,404
"2013-2014","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",781,793,759,1112,3445
"2013-2014","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1714,1891,1915,2647,8167
"2013-2014","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1374,1518,1479,3060,7431
"2013-2014","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",1656,1553,1660,2437,7306
"2013-2014","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",763,837,903,1161,3664
"2013-2014","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1775,1840,1773,2298,7686
