"year","board_number","board_name","board_type","grade_9_enrolment","grade_10_enrolment","grade_11_enrolment","grade_12_enrolment","total_enrolment"
"2021-2022","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5780,5735,5465,7705,24685
"2021-2022","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",540,500,520,565,2130
"2021-2022","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6415,6285,6425,7855,26975
"2021-2022","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16625,16400,16705,21230,70960
"2021-2022","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1390,1320,1375,1785,5875
"2021-2022","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2095,2080,1995,2855,9025
"2021-2022","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2615,2765,2640,3435,11460
"2021-2022","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1760,1825,1800,2175,7560
"2021-2022","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4975,4865,4770,6125,20740
"2021-2022","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",565,540,550,725,2380
"2021-2022","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1785,1855,1840,2360,7845
"2021-2022","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4620,4660,4540,4595,18415
"2021-2022","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",10150,9685,9820,11505,41160
"2021-2022"," ","Provincial Total",NA,152450,150215,149595,183870,636130
"2022-2023","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",890,870,865,1005,3630
"2022-2023","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1190,1200,1160,1425,4975
"2022-2023","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1230,1145,1110,1475,4955
"2022-2023","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",680,610,585,565,2440
"2022-2023","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",165,175,180,180,705
"2022-2023","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",95,100,85,95,375
"2022-2023","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1160,1190,1115,1275,4735
"2022-2023","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",3085,3075,3000,3600,12755
"2022-2023","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",640,630,630,775,2670
"2022-2023","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5570,5550,5510,5940,22565
"2022-2023","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",2020,1845,1805,2640,8315
"2022-2023","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2900,2790,2720,3395,11810
"2022-2023","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",5130,5275,5100,5795,21300
"2022-2023","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3420,3415,3325,4425,14580
"2022-2023","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1190,1180,1100,1175,4640
"2022-2023","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",40,40,50,70,205
"2022-2023","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2545,2470,2365,2855,10235
"2022-2023","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",435,430,420,595,1880
"2022-2023","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",785,645,590,755,2775
"2022-2023","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1745,1740,1720,2150,7360
"2022-2023","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1575,1540,1470,2125,6715
"2022-2023","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",760,725,745,900,3130
"2022-2023","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5790,5820,5945,8025,25580
"2022-2023","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",10100,10105,10380,12270,42855
"2022-2023","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1120,1035,1055,1595,4810
"2022-2023","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",230,210,220,250,905
"2022-2023","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",725,705,720,900,3050
"2022-2023","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",4155,4230,3985,4660,17030
"2022-2023","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",195,165,150,175,680
"2022-2023","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5840,5845,5820,7555,25060
"2022-2023","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16640,17220,16950,21365,72170
"2022-2023","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1410,1380,1310,1735,5835
"2022-2023","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2090,2145,2135,2605,8975
"2022-2023","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2785,2665,2770,3255,11475
"2022-2023","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4900,4980,4920,6000,20800
"2022-2023","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",10010,10585,10100,11305,42000
"2022-2023","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",875,885,975,1265,4000
"2022-2023","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",940,975,1000,1145,4060
"2022-2023","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",385,410,350,560,1705
"2022-2023","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",1025,985,985,1100,4095
"2022-2023","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1140,1040,935,1040,4150
"2022-2023","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",200,195,190,205,785
"2022-2023","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",740,730,675,665,2810
"2022-2023","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",35,30,35,30,130
"2022-2023","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",375,385,385,445,1595
"2022-2023","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1800,1735,1665,1585,6785
"2022-2023","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",375,385,390,375,1520
"2022-2023","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",475,445,465,540,1925
"2022-2023","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7205,7260,7330,7925,29720
"2022-2023","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1640,1720,1555,1700,6615
"2022-2023","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3210,3300,3170,3765,13440
"2022-2023","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2480,2445,2450,3695,11075
"2022-2023","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",320,335,360,390,1405
"2022-2023","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",235,190,160,245,835
"2022-2023","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",115,100,80,85,385
"2022-2023","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",2175,2140,2000,2345,8655
"2022-2023","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1615,1490,1500,1980,6585
"2022-2023","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",270,255,215,260,995
"2022-2023","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",110,75,85,110,380
"2022-2023","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",3680,3725,3555,4165,15130
"2022-2023","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1170,1110,1165,1215,4660
"2022-2023","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",290,290,275,320,1175
"2022-2023","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1740,1615,1685,1845,6885
"2022-2023","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",610,575,615,770,2570
"2022-2023","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",525,510,475,530,2045
"2022-2023","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",520,530,485,600,2135
"2022-2023","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6265,6450,6270,7660,26645
"2022-2023","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1795,1855,1855,2230,7735
"2022-2023","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",570,550,540,700,2360
"2022-2023","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1980,1855,1865,2600,8305
"2022-2023","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4615,4700,4635,4700,18655
"2022-2023","N/A","Provincial Total",NA,154750,155005,152480,183705,645945
"2023-2024","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",875,895,880,1095,3740
"2023-2024","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1195,1235,1205,1430,5065
"2023-2024","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1200,1210,1120,1520,5050
"2023-2024","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",715,635,560,585,2495
"2023-2024","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",155,165,170,195,690
"2023-2024","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",85,85,105,105,380
"2023-2024","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1095,1150,1135,1475,4850
"2023-2024","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",3315,3170,3165,3755,13405
"2023-2024","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",645,645,630,865,2780
"2023-2024","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5855,5670,5680,6235,23440
"2023-2024","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1985,2040,1845,2625,8495
"2023-2024","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2920,2665,2840,3300,11725
"2023-2024","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4925,5140,5390,6100,21555
"2023-2024","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3380,3475,3450,4595,14900
"2023-2024","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1160,1210,1170,1190,4725
"2023-2024","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",40,40,40,85,205
"2023-2024","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2460,2475,2450,3030,10410
"2023-2024","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",475,470,440,585,1970
"2023-2024","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",675,665,650,700,2695
"2023-2024","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1650,1775,1745,2225,7395
"2023-2024","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1530,1600,1560,2205,6895
"2023-2024","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",725,750,760,920,3155
"2023-2024","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5760,6070,6065,8450,26345
"2023-2024","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9390,10230,10220,12550,42385
"2023-2024","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1130,1135,1060,1655,4985
"2023-2024","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",225,220,205,235,880
"2023-2024","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",730,740,725,1005,3200
"2023-2024","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",4215,4160,4260,4595,17230
"2023-2024","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",185,185,160,180,710
"2023-2024","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5780,5870,5885,7940,25475
"2023-2024","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16530,17310,17880,22190,73910
"2023-2024","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1435,1445,1370,1665,5915
"2023-2024","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2175,2180,2205,2660,9220
"2023-2024","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2770,2780,2675,3445,11675
"2023-2024","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4900,4990,5010,6195,21095
"2023-2024","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",10175,10600,11080,11775,43625
"2023-2024","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",860,920,1005,1315,4100
"2023-2024","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",1030,985,985,1280,4285
"2023-2024","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",400,375,440,500,1710
"2023-2024","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",995,1030,985,1030,4045
"2023-2024","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1030,1115,1010,970,4125
"2023-2024","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",200,200,180,205,790
"2023-2024","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",780,730,730,685,2925
"2023-2024","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",35,30,30,30,130
"2023-2024","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",425,375,375,490,1665
"2023-2024","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1855,1795,1715,1700,7065
"2023-2024","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",365,365,375,400,1505
"2023-2024","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",460,455,430,530,1875
"2023-2024","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7275,7365,7325,7975,29940
"2023-2024","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1815,1670,1730,1640,6865
"2023-2024","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3580,3380,3380,3755,14090
"2023-2024","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2600,2525,2495,3715,11335
"2023-2024","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",290,315,315,425,1345
"2023-2024","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",290,165,195,215,865
"2023-2024","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,105,90,85,370
"2023-2024","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",2365,2295,2190,2440,9290
"2023-2024","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1625,1660,1535,1940,6755
"2023-2024","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",315,285,255,275,1130
"2023-2024","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",100,110,75,100,385
"2023-2024","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",3905,4030,3740,4245,15920
"2023-2024","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1190,1195,1095,1270,4745
"2023-2024","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",295,290,290,340,1205
"2023-2024","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",1945,1805,1645,1850,7245
"2023-2024","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",715,620,570,765,2670
"2023-2024","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",540,530,505,535,2110
"2023-2024","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",510,505,490,570,2075
"2023-2024","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6600,6395,6665,7680,27335
"2023-2024","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",1930,1855,1915,2295,7995
"2023-2024","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",580,580,575,745,2485
"2023-2024","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",1985,2055,1895,2880,8815
"2023-2024","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4790,4705,4690,4795,18980
"2023-2024","N/A","Provincial Total",NA,156230,157895,157710,189015,660845
"2024-2025","B28010","Algoma DSB","Pub Dist Sch Brd (E/F)",875,860,900,1085,3720
"2024-2025","B66010","Avon Maitland DSB","Pub Dist Sch Brd (E/F)",1160,1240,1255,1405,5060
"2024-2025","B66001","Bluewater DSB","Pub Dist Sch Brd (E/F)",1285,1210,1230,1455,5180
"2024-2025","B66303","CS Viamonde","Pub Dist Sch Brd (E/F)",725,645,630,590,2595
"2024-2025","B28118","CS public du Grand Nord de l'Ontario","Pub Dist Sch Brd (E/F)",160,165,165,195,685
"2024-2025","B28100","CS public du Nord-Est de l'Ontario","Pub Dist Sch Brd (E/F)",95,85,90,110,380
"2024-2025","B66311","CÉP de l'Est de l'Ontario","Pub Dist Sch Brd (E/F)",1220,1120,1175,1605,5120
"2024-2025","B66150","DSB Niagara","Pub Dist Sch Brd (E/F)",3085,3380,3180,3900,13545
"2024-2025","B28002","DSB Ontario North East","Pub Dist Sch Brd (E/F)",690,650,655,855,2850
"2024-2025","B66060","Durham DSB","Pub Dist Sch Brd (E/F)",5800,5925,5690,6535,23955
"2024-2025","B66168","Grand Erie DSB","Pub Dist Sch Brd (E/F)",1935,2020,2060,2685,8700
"2024-2025","B66028","Greater Essex County DSB","Pub Dist Sch Brd (E/F)",2815,2670,2695,3450,11625
"2024-2025","B66133","Halton DSB","Pub Dist Sch Brd (E/F)",4445,4985,5245,6455,21135
"2024-2025","B66141","Hamilton-Wentworth DSB","Pub Dist Sch Brd (E/F)",3205,3415,3505,4600,14735
"2024-2025","B66222","Hastings & Prince Edward DSB","Pub Dist Sch Brd (E/F)",1170,1165,1200,1220,4755
"2024-2025","B15148","James Bay Lowlands SSB","Sec Sch Brd (Sch Auth)",40,40,40,65,185
"2024-2025","B66079","Kawartha Pine Ridge DSB","Pub Dist Sch Brd (E/F)",2285,2430,2455,3090,10265
"2024-2025","B28045","Keewatin-Patricia DSB","Pub Dist Sch Brd (E/F)",435,475,455,585,1950
"2024-2025","B28061","Lakehead DSB","Pub Dist Sch Brd (E/F)",645,695,665,750,2755
"2024-2025","B66036","Lambton Kent DSB","Pub Dist Sch Brd (E/F)",1605,1685,1805,2265,7360
"2024-2025","B66206","Limestone DSB","Pub Dist Sch Brd (E/F)",1535,1580,1620,2200,6930
"2024-2025","B28037","Near North DSB","Pub Dist Sch Brd (E/F)",715,725,755,900,3100
"2024-2025","B66184","Ottawa-Carleton DSB","Pub Dist Sch Brd (E/F)",5715,5995,6285,8735,26730
"2024-2025","B66125","Peel DSB","Pub Dist Sch Brd (E/F)",9325,9580,10545,12460,41905
"2024-2025","B28029","Rainbow DSB","Pub Dist Sch Brd (E/F)",1080,1145,1165,1650,5040
"2024-2025","B28053","Rainy River DSB","Pub Dist Sch Brd (E/F)",235,215,200,255,910
"2024-2025","B66214","Renfrew County DSB","Pub Dist Sch Brd (E/F)",765,735,730,1025,3255
"2024-2025","B66109","Simcoe County DSB","Pub Dist Sch Brd (E/F)",4075,4260,4160,4945,17440
"2024-2025","B28070","Superior-Greenstone DSB","Pub Dist Sch Brd (E/F)",190,175,185,185,735
"2024-2025","B66044","Thames Valley DSB","Pub Dist Sch Brd (E/F)",5635,5835,5855,7985,25315
"2024-2025","B66052","Toronto DSB","Pub Dist Sch Brd (E/F)",16460,17080,17895,23530,74960
"2024-2025","B66087","Trillium Lakelands DSB","Pub Dist Sch Brd (E/F)",1450,1435,1435,1735,6050
"2024-2025","B66192","Upper Canada DSB","Pub Dist Sch Brd (E/F)",2115,2215,2220,2710,9255
"2024-2025","B66117","Upper Grand DSB","Pub Dist Sch Brd (E/F)",2670,2775,2800,3270,11515
"2024-2025","B66176","Waterloo Region DSB","Pub Dist Sch Brd (E/F)",4800,4935,5025,6275,21040
"2024-2025","B66095","York Region DSB","Pub Dist Sch Brd (E/F)",9925,10620,10880,12855,44280
"2024-2025","B67202","Algonquin and Lakeshore CDSB","Cath Dist Sch Brd (E/F)",945,905,1145,1240,4235
"2024-2025","B67164","Brant Haldimand Norfolk CDSB","Cath Dist Sch Brd (E/F)",1105,1045,960,1275,4385
"2024-2025","B67008","Bruce-Grey CDSB","Cath Dist Sch Brd (E/F)",420,405,385,595,1805
"2024-2025","B67172","CDSB of Eastern Ontario","Cath Dist Sch Brd (E/F)",1000,1020,1050,1030,4105
"2024-2025","B67318","CS catholique MonAvenir","Cath Dist Sch Brd (E/F)",1090,1025,1080,1045,4245
"2024-2025","B29114","CSDC Franco-Nord","Cath Dist Sch Brd (E/F)",230,200,200,210,840
"2024-2025","B67326","CSDC de l'Est ontarien","Cath Dist Sch Brd (E/F)",780,770,720,755,3030
"2024-2025","B29130","CSDC des Aurores boréales","Cath Dist Sch Brd (E/F)",40,35,30,35,140
"2024-2025","B29106","CSDC des Grandes Rivières","Cath Dist Sch Brd (E/F)",365,405,365,470,1600
"2024-2025","B67334","CSDC du Centre-Est de l'Ontario","Cath Dist Sch Brd (E/F)",1930,1885,1820,1800,7440
"2024-2025","B29122","CSDC du Nouvel-Ontario","Cath Dist Sch Brd (E/F)",365,350,350,365,1430
"2024-2025","B67300","Conseil scolaire catholique Providence","Cath Dist Sch Brd (E/F)",435,450,445,480,1810
"2024-2025","B67083","Dufferin-Peel CDSB","Cath Dist Sch Brd (E/F)",7385,7385,7445,7980,30195
"2024-2025","B67105","Durham CDSB","Cath Dist Sch Brd (E/F)",1860,1845,1700,1785,7190
"2024-2025","B67113","Halton CDSB","Cath Dist Sch Brd (E/F)",3785,3640,3415,3830,14665
"2024-2025","B67121","Hamilton-Wentworth CDSB","Cath Dist Sch Brd (E/F)",2715,2625,2580,3510,11430
"2024-2025","B67016","Huron Perth CDSB","Cath Dist Sch Brd (E/F)",310,290,295,390,1280
"2024-2025","B29025","Huron-Superior CDSB","Cath Dist Sch Brd (E/F)",305,230,160,245,940
"2024-2025","B29050","Kenora CDSB","Cath Dist Sch Brd (E/F)",90,75,105,95,365
"2024-2025","B67032","London District Catholic School Board","Cath Dist Sch Brd (E/F)",2430,2395,2365,2600,9785
"2024-2025","B67156","Niagara CDSB","Cath Dist Sch Brd (E/F)",1740,1685,1755,1985,7165
"2024-2025","B29017","Nipissing-Parry Sound CDSB","Cath Dist Sch Brd (E/F)",245,335,280,300,1160
"2024-2025","B29009","Northeastern CDSB","Cath Dist Sch Brd (E/F)",60,105,100,110,370
"2024-2025","B67180","Ottawa CSB","Cath Dist Sch Brd (E/F)",4260,4150,3955,4335,16700
"2024-2025","B67067","Peterborough Victoria Northumberland and Clarington CDSB","Cath Dist Sch Brd (E/F)",1405,1220,1205,1200,5030
"2024-2025","B67199","Renfrew County CDSB","Cath Dist Sch Brd (E/F)",295,275,290,345,1205
"2024-2025","B67091","Simcoe Muskoka CDSB","Cath Dist Sch Brd (E/F)",2045,1980,1860,1795,7680
"2024-2025","B67040","St Clair CDSB","Cath Dist Sch Brd (E/F)",765,720,600,730,2815
"2024-2025","B29033","Sudbury CDSB","Cath Dist Sch Brd (E/F)",540,535,525,585,2185
"2024-2025","B29068","Thunder Bay CDSB","Cath Dist Sch Brd (E/F)",505,495,480,595,2075
"2024-2025","B67059","Toronto CDSB","Cath Dist Sch Brd (E/F)",6815,6735,6535,8135,28215
"2024-2025","B67148","Waterloo CDSB","Cath Dist Sch Brd (E/F)",2030,2010,1915,2360,8310
"2024-2025","B67130","Wellington CDSB","Cath Dist Sch Brd (E/F)",555,605,610,730,2500
"2024-2025","B67024","Windsor-Essex CDSB","Cath Dist Sch Brd (E/F)",2110,2045,2050,3005,9210
"2024-2025","B67075","York CDSB","Cath Dist Sch Brd (E/F)",4805,4845,4735,4875,19265
"2024-2025","N/A","Provincial Total",NA,156120,158880,160350,194445,669795
