"year","month","cases","beneficiaries"
2015,2,607418.093579865,932549.509038584
2015,3,611368.444346033,937705.022861425
2015,4,615222.536335869,944716.34827496
2015,5,617521.866757639,949243.407741034
2015,6,617440.849047471,948791.393239558
2015,7,618956.691525274,951877.312060741
2015,8,618152.795912543,950373.64874987
2015,9,616533.297732407,946276.813628524
2015,10,614344.224645895,941621.161665445
2015,11,612936.519380969,938469.475692208
2015,12,614794.555229641,941059.312276822
2016,1,619166.565777178,946214.971181833
2016,2,621162.863153894,948013.641676809
2016,3,624620.457687391,952757.197125627
2016,4,624940.245569101,953176.270279684
2016,5,626980.349117188,956580.34783852
2016,6,628907.910960172,960655.096190044
2016,7,627046.36184308,957773.353593002
2016,8,627871.242884532,959366.47301682
2016,9,630751.661669946,963596.933969832
2016,10,624347.501852401,951708.615171691
2016,11,624925.486186639,952523.258287804
2016,12,626940.73891309,955519.056450213
2017,1,628587.219192664,959183.786757022
2017,2,632463.993460903,967518.918738945
2017,3,636636.39014953,975093.691158731
2017,4,635012.75482725,973323.354047554
2017,5,638836.712414508,981412.043358124
2017,6,640044.778685375,985321.788997398
2017,7,637686.346100974,982069.973018125
2017,8,640276.514712838,987529.213561741
2017,9,639858.489970175,986682.568993889
2017,10,636477.451625046,980428.921612414
2017,11,639947.007204967,986644.818286618
2017,12,639903.200102321,986788.305414541
2018,1,640702.699216073,987791.0743207
2018,2,643213.152415623,992001.642872939
2018,3,643153.620685508,991378.908526507
2018,4,642684.051839841,991626.839068357
2018,5,646719.597865938,999602.403223876
2018,6,647559.369266846,1002023.19667126
2018,7,644766.191285535,997876.702085805
2018,8,648247.261171286,1005241.27394665
2018,9,644610.731478859,998738.434853842
2018,10,643030.895198171,993953.450605522
2018,11,644084.216127731,996355.86420457
2018,12,641897.477824472,991587.131801169
2019,1,646230.579737019,997671.383718563
2019,2,647055.938249038,998654.412779221
2019,3,647298.617602286,997112.502869241
2019,4,650012.083811503,1001663.22320491
2019,5,653049.372993204,1008247.03141929
2019,6,649968.667226129,1003221.70525737
2019,7,650355.301668267,1003459.73773453
2019,8,652320.447134999,1008080.65634068
2019,9,647789.887001373,999987.838031645
2019,10,647450.197114284,998426.287745752
2019,11,646976.288813023,997106.490164735
2019,12,645649.962905058,992529.257954166
2020,1,651443.262310845,1002475.5700671
2020,2,650624.167907195,999652.182445781
2020,3,657052.3353206,1007824.81672597
2020,4,665871.471944871,1022546.62432383
2020,5,655350.35521173,1005474.53559221
2020,6,646319.888198892,991049.909975083
2020,7,641392.797873949,985254.652383046
2020,8,632721.387478817,971982.709460512
2020,9,624128.511004137,957369.453994119
2020,10,619846.427198173,950996.073015482
2020,11,612540.682065614,937713.010899896
2020,12,609871.092239571,932305.906904102
2021,1,606099.118494711,924859.560582113
2021,2,603611.102566211,918574.328552969
2021,3,603474.889153288,917973.62366075
2021,4,598680.244986924,909422.035098417
2021,5,594065.728717901,900739.287117016
2021,6,592377.285322817,897013.815945103
2021,7,589283.271070553,891617.81844008
2021,8,585639.008723574,885182.427771429
2021,9,583679.996967665,881140.238676217
2021,10,582846.404930764,878083.253457851
2021,11,588197.574167508,883412.050454087
2021,12,597681.721567368,897757.489076937
2022,1,599716.746129313,899153.770600174
2022,2,603519.632362724,903030.083174882
2022,3,609036.953662342,910411.472167829
2022,4,608950.428877765,909238.093901157
2022,5,610751.39731484,911459.685037312
2022,6,615086.097144989,919870.195950463
2022,7,612963.947901492,916123.654176194
2022,8,616411.824370001,921382.412342725
2022,9,619140.255755204,925798.923904266
2022,10,615937.14400758,919062.434950609
2022,11,620095.76492615,924617.447611123
2022,12,622252.886375727,927935.37126001
2023,1,623678.291823135,928064.033483761
2023,2,628526.090800091,934716.548289532
2023,3,634625.848756273,943816.240929146
2023,4,631857.972574861,939087.517658552
2023,5,636194.28545055,945553.622554229
2023,6,639382.396020539,951466.264441592
2023,7,638606.781511637,948038.756567371
2023,8,643679.765975771,955784.470860668
2023,9,644712.686417329,955907.918896017
2023,10,645233.569995144,954072.701469109
2023,11,653245.415990841,965447.595594544
2023,12,655629.477764215,967948.744526977
2024,1,659748.406911138,972279.269781205
2024,2,666732.316999497,982351.292069885
2024,3,670217.177630697,986075.877616506
2024,4,674497.6398843,991874.854340417
2024,5,682059.907259527,1004313.73393632
2024,6,681519.240144891,1003165.01862328
2024,7,686923.368134877,1011207.6756621
2024,8,693541.266801836,1022746.45618245
2024,9,692044.303803848,1019312.71436535
2024,10,696003.243312716,1024830.84743173
2024,11,697330.102516707,1027133.25614411
