"year","month","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2023,9,240576.166666667,159384.597666638,61622.3136517704,19569.2553482587,159384.597666638,32734.0653065084,48457.5036935207,28217.3564429315,179067.243195572,33291.5670281633,117797.698994792,122778.467671875,41323.3714926828,55327.0588061156,27618.9082671438,116306.828100724
2023,12,251425.5,169538.67997967,61405.4263125883,20481.3937077416,169538.67997967,33034.8100720294,48852.0099483005,29398.1424360838,188115.85082965,33911.5067342662,125726.890268746,125698.609731254,47227.4501835103,56788.3667102703,28530.8726196775,118878.810486542
2024,3,264941,181640.795729232,61821.0984515804,21479.1058191881,181640.795729232,33585.7767642445,49714.427506524,31700.6369216093,198877.553603387,34362.8094750038,135925.371246226,129015.628753775,49253.8476336143,61919.2719392301,31952.3370335622,121815.543393594
2024,6,275017.666666667,189092.503243118,63112.5179433124,22812.6454802367,189092.503243118,34528.1490671298,51397.0143564194,33494.7655286686,206922.801047504,34600.1000904938,142119.955439363,132897.711227304,51223.9147929637,67758.0514083421,31368.5606498368,124667.139815524
2024,9,282723.833333333,194729.996990751,63886.1359312692,24107.7004113132,194729.996990751,35356.6399380695,52637.1964045129,34011.6467051919,213131.381151259,35580.8054768824,147171.453328367,135552.380004966,52590.2780359242,71809.0844402895,30367.6534114656,127956.817445654
2024,12,285990.166666667,197585.663798497,63688.0551263221,24716.4477418477,197585.663798497,35616.5325223252,52787.9703458447,33814.4435392074,215718.076776692,36457.6463507671,149995.505921598,135994.660745068,50361.5601939082,72764.1632032391,33855.0921628868,129009.351106632
2025,3,289078,201032.053557353,63542.7848311756,24503.1616114717,201032.053557353,35706.985145753,52338.9612968942,34264.8882458167,217382.06126702,37431.0504871632,152197.408536783,136880.591463217,46783.8708576735,74666.4918710161,36730.8115162706,130896.82575504
2025,6,292388.666666667,202759.383501663,65083.8235386827,24545.4596263208,202759.383501663,36642.523195861,52986.7599691425,35149.8798477033,219243.945380795,37994.8414381683,152118.651413295,140270.015253372,47519.2780671163,70790.377843269,38323.3061303813,135755.7046259
2025,9,290607.166666667,201172.285848573,65489.1441689853,23945.7366491078,201172.285848573,36662.6815362046,52772.1992818886,34287.8805351935,217805.25885434,38514.027277133,149348.133767351,141259.032899315,48965.4411479278,65221.6928730783,39087.4345302255,137332.598115435
2025,12,289102.833333333,200465.506315697,65177.7221033187,23459.6049143174,200465.506315697,36538.8997637544,52098.4272538818,33523.2452090299,216491.705046072,39087.8830782313,148288.953296149,140813.880037184,48475.4750807103,61470.3941032275,38567.0446404551,140589.919508941
2026,3,291970.338634829,203463.363971427,65359.7015927826,23147.2730706196,203463.363971427,36846.3182948414,51660.6563685608,33689.9666358056,218463.063508461,39817.308490562,149641.892791748,142328.445843081,45380.235103089,64501.6238075482,35846.6160207819,146241.86370341
