"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa035","moa3659","moa60"
2005,9,"568","568 - Barrie",2325,1840,211,274,1840,316,169,253,1567,505,1147,1178,571,321,1433
2005,9,"580","580 - Greater Sudbury",4617,3591,407,619,3591,654,372,342,3330,945,2402,2214,987,605,3025
2005,9,"595","595 - Thunder Bay",3570,2840,350,380,2840,479,251,256,2580,734,1839,1731,777,454,2339
2005,12,"505","505 - Ottawa--Gatineau",16103,12769,1356,1978,12769,1963,1371,1114,10578,4411,8439,7664,3793,2079,10231
2005,12,"521","521 - Kingston",4206,3197,379,630,3197,605,404,316,2974,916,2196,2010,871,457,2878
2005,12,"529","529 - Peterborough",2619,2053,188,378,2053,348,218,231,1787,601,1352,1267,545,369,1705
2005,12,"532","532 - Oshawa",4580,3725,394,461,3725,550,305,435,3127,1018,2262,2318,1145,661,2774
2005,12,"535","535 - Toronto",66065,53116,4449,8500,53116,8218,4731,4394,39500,22171,34460,31605,18615,9552,37898
2005,12,"537","537 - Hamilton",14360,11109,1256,1995,11109,1942,1309,964,9708,3688,7558,6802,3142,1881,9337
2005,12,"539","539 - St. Catharines--Niagara",9059,6926,804,1329,6926,1303,830,617,6160,2282,4672,4387,2031,1138,5890
2005,12,"541","541 - Kitchener--Cambridge--Waterloo",6217,4973,449,795,4973,809,435,624,4046,1547,3181,3036,1622,902,3693
2005,12,"543","543 - Brantford",3457,2560,368,529,2560,537,360,289,2324,844,1760,1697,735,473,2249
2005,12,"550","550 - Guelph",1857,1506,152,199,1506,227,124,176,1254,427,923,934,468,230,1159
2005,12,"555","555 - London",9419,7282,758,1379,7282,1318,819,664,6434,2321,4863,4556,2237,1262,5920
2005,12,"559","559 - Windsor",6206,4823,503,880,4823,834,549,437,4002,1767,3159,3047,1470,823,3913
2005,12,"568","568 - Barrie",2309,1822,210,277,1822,322,165,247,1564,498,1141,1168,544,325,1440
2005,12,"580","580 - Greater Sudbury",4644,3598,402,644,3598,660,386,350,3327,967,2399,2244,982,629,3033
2005,12,"595","595 - Thunder Bay",3575,2841,348,386,2841,480,254,252,2594,729,1839,1736,771,465,2339
2006,3,"505","505 - Ottawa--Gatineau",16251,12910,1368,1973,12910,1972,1369,1130,10681,4440,8520,7731,3869,2099,10283
2006,3,"521","521 - Kingston",4227,3221,382,624,3221,599,407,312,2986,929,2206,2021,881,452,2894
2006,3,"529","529 - Peterborough",2664,2098,196,370,2098,353,213,244,1802,618,1381,1283,575,373,1716
2006,3,"532","532 - Oshawa",4637,3774,403,460,3774,545,318,450,3153,1034,2291,2346,1158,695,2784
2006,3,"535","535 - Toronto",66583,53519,4558,8506,53519,8229,4835,4520,39938,22125,34763,31820,19000,9710,37873
2006,3,"537","537 - Hamilton",14481,11181,1290,2010,11181,1982,1318,990,9755,3736,7607,6874,3198,1932,9351
2006,3,"539","539 - St. Catharines--Niagara",9135,6975,828,1332,6975,1320,840,638,6222,2275,4732,4403,2067,1118,5950
2006,3,"541","541 - Kitchener--Cambridge--Waterloo",6328,5063,463,802,5063,807,458,670,4108,1550,3229,3099,1648,944,3736
2006,3,"543","543 - Brantford",3508,2602,377,529,2602,534,372,304,2352,852,1798,1710,773,479,2256
2006,3,"550","550 - Guelph",1871,1515,152,204,1515,228,128,171,1259,441,918,953,463,229,1179
2006,3,"555","555 - London",9482,7340,756,1386,7340,1325,817,672,6472,2338,4896,4586,2267,1286,5929
2006,3,"559","559 - Windsor",6262,4877,493,892,4877,832,553,452,4021,1789,3180,3082,1495,859,3908
2006,3,"568","568 - Barrie",2362,1865,205,292,1865,323,174,252,1605,505,1177,1185,566,340,1456
2006,3,"580","580 - Greater Sudbury",4704,3647,412,645,3647,671,386,355,3366,983,2433,2270,1017,634,3053
2006,3,"595","595 - Thunder Bay",3613,2886,341,386,2886,479,248,252,2619,742,1857,1756,779,472,2362
2006,6,"505","505 - Ottawa--Gatineau",16425,13058,1407,1960,13058,1991,1376,1137,10822,4466,8613,7812,3934,2147,10344
2006,6,"521","521 - Kingston",4296,3283,390,623,3283,611,402,342,3029,925,2261,2035,923,476,2897
2006,6,"529","529 - Peterborough",2687,2115,195,377,2115,358,214,245,1818,624,1401,1286,577,358,1752
2006,6,"532","532 - Oshawa",4713,3814,419,480,3814,570,329,468,3197,1048,2330,2383,1178,687,2848
2006,6,"535","535 - Toronto",67154,54012,4672,8470,54012,8240,4902,4657,40406,22091,35000,32154,19084,10122,37948
2006,6,"537","537 - Hamilton",14707,11368,1320,2019,11368,2003,1336,1027,9881,3799,7725,6982,3309,1942,9456
2006,6,"539","539 - St. Catharines--Niagara",9233,7072,825,1336,7072,1331,830,656,6272,2305,4769,4464,2097,1138,5998
2006,6,"541","541 - Kitchener--Cambridge--Waterloo",6431,5136,468,827,5136,819,476,670,4164,1597,3285,3146,1689,948,3794
2006,6,"543","543 - Brantford",3550,2635,383,532,2635,541,374,314,2363,873,1826,1724,792,484,2274
2006,6,"550","550 - Guelph",1900,1525,168,207,1525,235,140,175,1271,454,942,958,474,246,1180
2006,6,"555","555 - London",9546,7418,766,1362,7418,1316,812,701,6497,2348,4936,4610,2289,1337,5920
2006,6,"559","559 - Windsor",6350,4937,507,906,4937,853,560,458,4086,1806,3235,3115,1494,917,3939
2006,6,"568","568 - Barrie",2395,1892,214,289,1892,333,170,257,1623,515,1198,1197,576,341,1478
2006,6,"580","580 - Greater Sudbury",4727,3658,428,641,3658,679,390,350,3390,987,2446,2280,1002,670,3055
2006,6,"595","595 - Thunder Bay",3662,2922,353,387,2922,482,258,262,2634,766,1885,1777,807,468,2387
