"year","month","cma_code","cma","cases","fts","ftsp","ftc","fs1","fs2","fs3","age24","age2554","age55","male","female","moa04","moa512","moa1318","moa19"
2005,12,"532","532 - Oshawa",4001,1963,1702,336,1963,1031,1007,965,2768,268,1458,2543,1275,1121,403,1202
2005,12,"535","535 - Toronto",82689,45490,28166,9033,45490,16332,20867,14126,60336,8227,35821,46868,20470,23020,10808,28391
2005,12,"537","537 - Hamilton",10479,5005,4170,1304,5005,2301,3173,2241,7522,716,4327,6151,2980,2995,1124,3380
2005,12,"539","539 - St. Catharines--Niagara",6462,3272,2471,719,3272,1479,1711,1426,4650,386,2688,3774,2355,1665,753,1689
2005,12,"541","541 - Kitchener--Cambridge--Waterloo",5834,2853,2264,717,2853,1349,1632,1279,4094,461,2423,3411,1917,1547,622,1748
2005,12,"543","543 - Brantford",1572,714,721,137,714,382,476,422,1084,66,575,997,549,458,172,393
2005,12,"550","550 - Guelph",899,467,361,71,467,222,210,205,635,59,345,554,349,285,74,191
2005,12,"555","555 - London",8095,4057,2955,1083,4057,1788,2250,1812,5731,552,3502,4593,2361,2169,992,2573
2005,12,"559","559 - Windsor",6828,3390,2681,757,3390,1512,1926,1659,4701,468,2728,4100,1963,1890,820,2155
2005,12,"568","568 - Barrie",1735,975,647,113,975,408,352,444,1192,99,697,1038,727,538,185,285
2005,12,"580","580 - Greater Sudbury",3453,1901,1257,295,1901,784,768,969,2317,167,1460,1993,1039,881,347,1186
2005,12,"595","595 - Thunder Bay",2000,995,837,168,995,470,535,464,1439,97,786,1214,669,583,239,509
2006,3,"505","505 - Ottawa--Gatineau",16904,9375,5670,1859,9375,2972,4557,3558,12108,1238,7606,9298,4508,4555,1798,6043
2006,3,"521","521 - Kingston",2887,1613,987,287,1613,631,643,751,1992,144,1235,1652,942,772,304,869
2006,3,"529","529 - Peterborough",2539,1435,833,271,1435,568,536,729,1667,143,1137,1402,787,711,251,790
2006,3,"532","532 - Oshawa",4309,2201,1732,376,2201,1062,1046,1111,2944,254,1688,2621,1404,1277,418,1210
2006,3,"535","535 - Toronto",85102,47629,28221,9252,47629,16558,20915,14685,61867,8550,37470,47632,20472,24060,10939,29631
2006,3,"537","537 - Hamilton",10689,5271,4110,1308,5271,2304,3114,2362,7622,705,4540,6149,3018,3162,1170,3339
2006,3,"539","539 - St. Catharines--Niagara",6848,3577,2503,768,3577,1532,1739,1620,4821,407,2917,3931,2345,2081,696,1726
2006,3,"541","541 - Kitchener--Cambridge--Waterloo",6160,3128,2296,736,3128,1368,1664,1400,4288,472,2622,3538,2105,1673,592,1790
2006,3,"543","543 - Brantford",1733,829,749,155,829,418,486,490,1159,84,644,1089,620,522,178,413
2006,3,"550","550 - Guelph",946,512,353,81,512,216,218,205,680,61,403,543,390,276,87,193
2006,3,"555","555 - London",8389,4349,2974,1066,4349,1800,2240,1929,5889,571,3729,4660,2491,2350,921,2627
2006,3,"559","559 - Windsor",7233,3688,2728,817,3688,1533,2012,1761,4984,488,3002,4231,2076,2057,843,2257
2006,3,"568","568 - Barrie",2011,1200,660,151,1200,428,383,531,1373,107,883,1128,896,630,174,311
2006,3,"580","580 - Greater Sudbury",3571,2054,1204,313,2054,770,747,1046,2357,168,1578,1993,1106,951,344,1170
2006,3,"595","595 - Thunder Bay",2063,1049,834,180,1049,475,539,494,1464,105,834,1229,636,658,239,530
2006,6,"505","505 - Ottawa--Gatineau",16647,9153,5648,1846,9153,2958,4536,3554,11873,1220,7289,9358,4387,4535,1745,5980
2006,6,"521","521 - Kingston",2850,1534,1039,277,1534,674,642,764,1937,149,1134,1716,883,790,298,879
2006,6,"529","529 - Peterborough",2446,1367,832,247,1367,540,539,694,1615,137,1061,1385,657,758,245,786
2006,6,"532","532 - Oshawa",4293,2162,1761,370,2162,1061,1070,1080,2943,270,1616,2677,1277,1363,431,1222
2006,6,"535","535 - Toronto",84753,47185,28436,9132,47185,16701,20867,15073,61230,8450,36605,48148,19992,23803,10280,30678
2006,6,"537","537 - Hamilton",10410,4999,4144,1267,4999,2338,3073,2342,7395,673,4274,6136,2796,3120,1202,3292
2006,6,"539","539 - St. Catharines--Niagara",6345,3190,2484,671,3190,1478,1677,1489,4452,404,2553,3792,1883,2100,584,1778
2006,6,"541","541 - Kitchener--Cambridge--Waterloo",6122,3051,2369,702,3051,1403,1668,1422,4234,466,2494,3628,1953,1779,582,1808
2006,6,"543","543 - Brantford",1632,747,745,140,747,418,467,473,1095,64,557,1075,529,501,196,406
2006,6,"550","550 - Guelph",941,524,345,72,524,206,211,229,650,62,388,553,368,278,94,201
2006,6,"555","555 - London",8171,4111,3034,1026,4111,1818,2242,1875,5745,551,3401,4770,2351,2294,818,2708
2006,6,"559","559 - Windsor",7384,3705,2876,803,3705,1639,2040,1811,5073,500,2977,4407,1973,2228,770,2413
2006,6,"568","568 - Barrie",1963,1133,695,135,1133,453,377,503,1342,118,809,1154,739,691,188,345
2006,6,"580","580 - Greater Sudbury",3465,1903,1252,310,1903,818,744,1029,2280,156,1419,2046,1052,932,341,1140
2006,6,"595","595 - Thunder Bay",2083,1043,874,166,1043,500,540,480,1509,94,824,1259,675,625,241,542
2006,9,"505","505 - Ottawa--Gatineau",15981,8582,5525,1874,8582,2912,4487,3217,11567,1197,6891,9090,4430,4183,1652,5716
2006,9,"521","521 - Kingston",2695,1443,1008,244,1443,648,604,687,1869,139,1045,1650,838,722,264,871
2006,9,"529","529 - Peterborough",2410,1304,849,257,1304,563,543,693,1579,138,1007,1403,717,643,281,769
2006,9,"532","532 - Oshawa",4279,2142,1789,348,2142,1083,1054,1109,2909,261,1537,2742,1339,1241,478,1221
2006,9,"535","535 - Toronto",84526,46762,28772,8992,46762,16781,20983,15102,61031,8393,36120,48406,20329,23128,10035,31034
2006,9,"537","537 - Hamilton",10118,4818,4107,1193,4818,2310,2990,2266,7173,679,4084,6034,2784,2853,1214,3267
2006,9,"539","539 - St. Catharines--Niagara",6115,3022,2431,662,3022,1448,1645,1394,4324,397,2413,3702,2039,1705,672,1699
2006,9,"541","541 - Kitchener--Cambridge--Waterloo",5991,2900,2410,681,2900,1436,1655,1325,4212,454,2403,3588,1911,1675,600,1805
2006,9,"543","543 - Brantford",1570,682,746,142,682,413,475,441,1054,75,521,1049,497,499,177,397
2006,9,"550","550 - Guelph",925,494,350,81,494,212,219,215,647,63,373,552,400,245,96,184
